trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
222,False,"{'a': 0.5, 'e': 0.10970064851551141}",30,21,19.67890203129959,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10860910882495796}",20,14,13.499955994243793,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.10752843013579495}",25,14,13.692459780516488,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.1064585043792528}",25,8,-21.231390093563657,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
226,False,"{'a': 0.5, 'e': 0.10539922456186433}",30,9,23.74933462411872,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.104350484754765}",25,14,-12.708878552715245,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.1033121800831002}",25,9,29.52485027623274,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.10228420671553744}",20,6,-33.01238271881138,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
230,False,"{'a': 0.5, 'e': 0.1012664618538834}",20,9,12.165798004661198,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.1002588437228037}",20,0,27.210235669797274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
232,False,"{'a': 0.5, 'e': 0.09926125155964566}",20,13,1.0555804520704555,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.09827358560436154}",30,18,10.230883437772722,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09729574708953276}",20,10,10.1066869689629,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
