trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-150.0117546201567,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-113.5548058622282,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-172.5501999763032,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-282.25012559063197,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 5}",0
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,0,-43.32086135362752,"{0: 20, 1: 6, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-35.76655265132995,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.794533602503334}",25,5,-133.53046322456652,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",1
25,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-151.4872392658802,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-141.33581376536563,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-80.64636266640858,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,0,-65.35286196379883,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-132.3895619543959,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-47.47725286733673,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-73.65930942203072,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,7,-46.293936959683485,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-37.12780278252311,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7189237334319262}",30,0,-210.87857481791391,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
35,False,"{'a': 0.5, 'e': 0.7117703227626097}",30,12,-3.4726904134119874,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.7046880897187134}",30,0,-47.960231263863356,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.697676326071031}",30,0,-148.8222571835786,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.6907343306373547}",25,0,-82.53793070755552,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,0,-105.46127536706518,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,0,-103.13087866080919,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,2,-99.09551835381063,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-57.65799660607437,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,7,-73.22985016969312,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,15,-31.01581961653428,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",30,0,-189.94269230302086,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-76.86478679243378,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.631283645506926}",20,13,-5.043786155345369,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,0,-67.36281982293595,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,12,-3.1849973214010214,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,0,-58.14173522500473,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,12,-51.34970580364537,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",35,0,-159.81503285402948,"{0: 24, 1: 3, 2: 3, 3: 3, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,4,-30.113533518960875,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-17.12890720937171,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-72.70069656600765,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-91.1796007520304,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,0,-104.97989877093795,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,2,-16.964624481228235,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.559898366565402}",20,11,0.17372800112769937,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",30,0,29.32306395959859,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5488116360940265}",30,0,-57.272520593423685,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,0,-29.598700195966696,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-65.27636205626509,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,0,-42.78261844747212,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,14,-14.100311027039272,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.522045776761016}",25,8,-54.986363089965685,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,10,-3.071667857161735,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,0,-27.916937008384135,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",30,13,-22.491393263649087,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,16,8.156127064073132,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.49658530379140947}",30,4,-87.94376635259053,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 2}",1
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,0,-13.759398060600908,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,0,13.73456737043702,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,0,-96.25954358858104,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",25,0,-27.076338604746486,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,5,-30.70232000949831,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,9,-66.6183848179707,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",25,13,19.78334496041795,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,0,-37.90507408427348,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",30,0,-71.24395828750467,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,11,-30.48967298580269,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",25,13,13.650798828882596,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,8,-28.589357695134428,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",25,12,2.283828739587956,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,12,10.969605547562168,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",25,0,-50.231721800685456,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",30,10,31.841936210102986,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.418951549247639}",25,11,-5.998151495084574,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,0,-66.69879827054076,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",30,12,-8.509332308811372,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,6,11.521258366979229,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",25,3,31.129674328812403,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,2,-0.18673937886627545,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",25,14,-26.275409161510574,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,6,11.593256017076078,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",25,0,15.01945073879908,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,0,-39.560955282565544,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",35,13,3.553638789113223,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,17,10.619494846495352,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,9,12.338221671403666,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",30,12,-71.76636715908614,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,8,-48.73816395705674,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,6,-24.061245566535433,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",20,0,-109.73659467227351,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,9,21.78394356264656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,0,-3.633782740088643,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,10,5.257274951817639,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,9,13.008971838148621,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,8,-22.643081243353578,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.3362164937067333}",20,7,19.279248588625748,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,10,8.815496757469528,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,12,9.107140116154621,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,12,-11.41757163984608,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3230332564222529}",25,0,-21.122345617554753,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.31981902181630384}",25,3,-0.1843298708958152,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,13,12.765502451305071,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3134861808826053}",30,7,30.536155194436272,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,9,27.222943518305897,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",30,18,0.8717544373668042,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,4,-68.55894407744867,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.30119421191220214}",35,5,-7.197852335904801,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.2981972794298874}",25,7,-81.04754663701138,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
123,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,0,4.455504678496925,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,10,15.151594761586129,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2893842179390506}",35,19,12.34139659001466,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,9,16.468700540928754,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,5,21.539799764748572,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2808316217783798}",35,21,26.269136280763682,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27803730045319414}",30,7,-67.15819599852065,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 2}",1
130,False,"{'a': 0.5, 'e': 0.27527078308975234}",30,16,27.003091860351365,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,6,-18.233323723830182,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.2698200563846868}",30,24,13.330777971105894,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26713530196585034}",30,6,6.151376682798152,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,11,14.335890641710616,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.261845668580326}",25,4,0.7841451718842027,"{0: 18, 1: 2, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,17,-8.53884182945012,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2566607769535559}",25,11,14.107826086664668,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.25410695955280027}",30,7,11.178885786897714,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.25157855305975646}",30,12,-33.65004217307483,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.24907530463166816}",35,18,19.441021557330693,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,10,15.696976595242411,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2441432831534371}",30,15,30.39016668233578,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,9,8.804020427361287,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23930892224375455}",30,7,12.864839046067232,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23692775868212176}",25,5,-31.11512541674632,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.23457028809379765}",20,14,12.131399249302795,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.23223627472975883}",25,16,14.422407225737913,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22992548518672384}",30,10,3.664550877277922,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,6,-0.9756203444750802,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,15,10.301012494572326,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,0,30.08931918170265,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.2209099779593782}",25,0,-18.443515180882404,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.21871188695221475}",30,3,2.2075343085282917,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,12,16.82566886129495,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,13,1.5075843379951983,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21224797382674304}",30,12,13.926727270347666,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,7,24.550500840374312,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,0,1.9223525906092027,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.20597509820488344}",25,13,17.09912885211944,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20392561173421342}",25,10,30.63308736064778,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.20189651799465538}",20,14,10.326339685569906,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1998876140751445}",30,10,13.66918551349758,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,12,-25.92468124519126,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.19592957412690934}",25,11,21.777482375122467,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19398004229089189}",25,6,9.298473770831272,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19204990862075408}",25,7,0.4636085261911296,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,12,4.915494941079356,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,16,7.981853315648468,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,7,10.307546122041858,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,16,8.300352200410794,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18268352405273466}",30,19,-49.70155501802776,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.1808657926171221}",30,14,17.96508568467689,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,14,12.446456254187549,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17728440996987782}",20,3,18.678500599875264,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,2,31.14467496089311,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,13,11.684124038715265,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,0,43.40806853245489,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.17033298882540943}",25,6,-18.104222343311577,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.1686381472685955}",30,21,16.354768168038298,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
